# ell, dCl_tt, dCl_te, dCl_ee
2.000000000000000000e+00 -5.154065797958310213e+03 -1.563153908775904988e+01 -1.699437708752998821e-01
3.000000000000000000e+00 -2.328552815760730027e+03 -8.169298610609221356e+00 -1.024218727395595496e-01
4.000000000000000000e+00 -1.268364520318158384e+03 -4.343305654927909210e+00 -5.100240547941878311e-02
5.000000000000000000e+00 -7.793220723284974838e+02 -2.359926433776360355e+00 -2.200281827079587221e-02
6.000000000000000000e+00 -5.208352105365960369e+02 -1.306446939929817308e+00 -8.555678350966803083e-03
7.000000000000000000e+00 -3.701986787238027432e+02 -7.425042980849089203e-01 -3.348803894038436622e-03
8.000000000000000000e+00 -2.756185076417168034e+02 -4.405238047917800492e-01 -1.599321552334071828e-03
9.000000000000000000e+00 -2.127501975585204264e+02 -2.796997551287594419e-01 -9.821486071763269737e-04
1.000000000000000000e+01 -1.689942224524578762e+02 -1.945430883933986499e-01 -6.644427905466796652e-04
1.100000000000000000e+01 -1.373976526043811930e+02 -1.492184506281801770e-01 -4.532948472721576262e-04
1.200000000000000000e+01 -1.139122798983471796e+02 -1.241883593973668043e-01 -3.245771286719184904e-04
1.300000000000000000e+01 -9.596280224285358429e+01 -1.090827581153065717e-01 -2.595390746864861993e-04
1.400000000000000000e+01 -8.192274138176003362e+01 -9.872824765972364192e-02 -2.298451729002468059e-04
1.500000000000000000e+01 -7.077948231008157620e+01 -9.071287559238132292e-02 -2.151141545458053260e-04
1.600000000000000000e+01 -6.180404978933928817e+01 -8.394560403177271646e-02 -2.082988517694645751e-04
1.700000000000000000e+01 -5.443037943138584467e+01 -7.806600030417498726e-02 -2.091408195264472672e-04
1.800000000000000000e+01 -4.831929085886166320e+01 -7.297930922143223975e-02 -2.173820859985433696e-04
1.900000000000000000e+01 -4.321271879900479007e+01 -6.861261389929339261e-02 -2.307453878096446683e-04
2.000000000000000000e+01 -3.888207737872573233e+01 -6.487927212426615464e-02 -2.467680563885332398e-04
2.100000000000000000e+01 -3.518589409848971172e+01 -6.165164199554984403e-02 -2.641094090166394071e-04
2.200000000000000000e+01 -3.200984012922170052e+01 -5.879076657746423740e-02 -2.818509394732150904e-04
2.300000000000000000e+01 -2.926104795011497117e+01 -5.615342848215923444e-02 -2.996408616761367990e-04
2.400000000000000000e+01 -2.685895828806561525e+01 -5.361258447902569890e-02 -3.172730360834449576e-04
2.500000000000000000e+01 -2.475078355250914797e+01 -5.111014841863159575e-02 -3.345571891752923766e-04
2.600000000000000000e+01 -2.289280167426444024e+01 -4.861545583065545600e-02 -3.513762981538888714e-04
2.700000000000000000e+01 -2.124978098710972318e+01 -4.613857188010949545e-02 -3.678904770878512701e-04
2.800000000000000000e+01 -1.978861242556906319e+01 -4.369974414082915953e-02 -3.843291242623642729e-04
2.900000000000000000e+01 -1.847903842713716216e+01 -4.131859408149606006e-02 -4.008699749751259023e-04
3.000000000000000000e+01 -1.730220744121835352e+01 -3.901223875016606585e-02 -4.174841125737790504e-04
3.100000000000000000e+01 -1.624211942019471167e+01 -3.679716908972993639e-02 -4.340909574184257215e-04
3.200000000000000000e+01 -1.528357387187817551e+01 -3.468356374539040970e-02 -4.506182276253133069e-04
