# ell, dCl_tt, dCl_te, dCl_ee
2.000000000000000000e+00 1.574119211147414532e+01 -1.441017199329467854e-02 1.957476618034738878e-04
3.000000000000000000e+00 5.934791207176128403e+00 -3.811408364708945840e-03 5.676665192379942715e-05
4.000000000000000000e+00 2.802008686832475171e+00 -1.434128683175384111e-03 -1.771213607231966747e-05
5.000000000000000000e+00 1.513143262570887826e+00 -8.301459407885255484e-04 -3.058139557400007391e-05
6.000000000000000000e+00 9.111714911479396051e-01 -5.956308140475652380e-04 -1.931807665992256445e-05
7.000000000000000000e+00 5.310792369652972411e-01 -4.106982928372970854e-04 -7.445878360266414309e-06
8.000000000000000000e+00 3.657508951736569425e-01 -2.526134711423415054e-04 -1.763021271748291218e-06
9.000000000000000000e+00 2.644064535669580773e-01 -1.223393009685639905e-04 -5.617298113324758809e-07
1.000000000000000000e+01 1.850213606143095713e-01 -1.689928541953137836e-05 -7.123185533308020543e-07
1.100000000000000000e+01 1.505495568528658623e-01 3.882086583588869455e-05 -6.337977491481090690e-07
1.200000000000000000e+01 1.042775723012567823e-01 7.144028145680825226e-05 -2.517515365726696328e-07
1.300000000000000000e+01 8.261222226940627411e-02 9.444535478080515168e-05 4.761078692066001556e-08
1.400000000000000000e+01 7.294682711530479924e-02 7.913220730432213301e-05 1.651404720492987734e-07
1.500000000000000000e+01 6.393926808527794492e-02 7.901388494966493647e-05 2.134611753222342371e-07
1.600000000000000000e+01 4.828513249160930332e-02 8.094454546394894124e-05 2.688520920676949729e-07
1.700000000000000000e+01 4.852206736349747723e-02 5.267475824711580201e-05 4.175731914936244189e-07
1.800000000000000000e+01 4.285718009593135480e-02 5.075612698460472960e-05 5.925149180485542074e-07
1.900000000000000000e+01 3.239261234626885505e-02 6.529664480730187882e-05 7.290048435492851118e-07
2.000000000000000000e+01 2.573682145580846736e-02 7.000089390604934114e-05 7.956633805177403107e-07
2.100000000000000000e+01 2.191507813866640925e-02 6.926655744147330873e-05 8.454279020342590750e-07
2.200000000000000000e+01 1.837457206250429562e-02 7.131184303087179099e-05 9.314032880250221521e-07
2.300000000000000000e+01 1.583335533676214976e-02 6.894395514859634466e-05 1.023047485241115103e-06
2.400000000000000000e+01 1.519202750641805363e-02 5.508974769303602570e-05 1.082675707337645010e-06
2.500000000000000000e+01 1.481051541696013982e-02 3.856567540151447504e-05 1.127679168762028793e-06
2.600000000000000000e+01 1.298923990548317420e-02 2.927569617231645660e-05 1.183084599202413859e-06
2.700000000000000000e+01 1.033127047503986339e-02 2.558417970877543268e-05 1.249384788516521259e-06
2.800000000000000000e+01 8.015338795122062265e-03 2.297059866541185585e-05 1.320939041604352698e-06
2.900000000000000000e+01 6.967322522462756837e-03 1.793024819626033367e-05 1.393571608708767114e-06
3.000000000000000000e+01 7.101683262596599974e-03 1.102171345323856541e-05 1.468966521444008567e-06
3.100000000000000000e+01 8.080028608272726842e-03 3.819402087807307805e-06 1.550272756766998567e-06
3.200000000000000000e+01 9.531774278922119578e-03 -2.455997551991986098e-06 1.637314278767893490e-06
3.300000000000000000e+01 1.095756850075642851e-02 -7.998674331396079723e-06 1.716615000071326735e-06
3.400000000000000000e+01 1.182586762669579628e-02 -1.335653641902634359e-05 1.771373820434986569e-06
3.500000000000000000e+01 1.176378974259151278e-02 -1.882806022865275358e-05 1.791049660098327844e-06
3.600000000000000000e+01 1.103309986612307191e-02 -2.371399515480159670e-05 1.790141521226156288e-06
3.700000000000000000e+01 1.005422474791887663e-02 -2.706565883715354376e-05 1.789408426465406318e-06
3.800000000000000000e+01 9.247591138622132320e-03 -2.793436891537192513e-05 1.809609398462469616e-06
3.900000000000000000e+01 8.925306159837850459e-03 -2.590538164376719393e-05 1.865626567824137539e-06
4.000000000000000000e+01 8.966198417112991592e-03 -2.269970773494632554e-05 1.948834496998799300e-06
4.100000000000000000e+01 9.140776886971124782e-03 -2.057229651612584032e-05 2.044730856394068316e-06
4.200000000000000000e+01 9.219550545944699138e-03 -2.177809731452514869e-05 2.138813316419004101e-06
4.300000000000000000e+01 9.031251910990672344e-03 -2.785990286705009034e-05 2.219957980361894363e-06
4.400000000000000000e+01 8.637507660835080231e-03 -3.751187954938983016e-05 2.290554683034988576e-06
4.500000000000000000e+01 8.158168014643271335e-03 -4.871603714694597298e-05 2.356371692130577136e-06
4.600000000000000000e+01 7.713083191567271513e-03 -5.945438544509411971e-05 2.423177275340769599e-06
4.700000000000000000e+01 7.422103410781311084e-03 -6.770893422923299188e-05 2.496739700358128679e-06
4.800000000000000000e+01 7.369758201967909969e-03 -7.203092987304675321e-05 2.580689642905284284e-06
4.900000000000000000e+01 7.499294336928604907e-03 -7.324856510342789273e-05 2.670107410826227754e-06
5.000000000000000000e+01 7.718637897995428432e-03 -7.275926923556519724e-05 2.757935719993754267e-06
5.100000000000000000e+01 7.935714967497453642e-03 -7.196047158464853773e-05 2.837117286281923625e-06
