# ell, dCl_tt, dCl_te, dCl_ee
2.000000000000000000e+00 5.113450650722825317e+11 1.315392250831430197e+09 1.555868731470376998e+07
3.000000000000000000e+00 2.420426438453963318e+11 7.384376822141029835e+08 9.989802639126289636e+06
4.000000000000000000e+00 1.374577662097919922e+11 4.141674797914311290e+08 5.197336571552240290e+06
5.000000000000000000e+00 8.774971282477490234e+10 2.351296867375229895e+08 2.318174569147385657e+06
6.000000000000000000e+00 6.076646368643139648e+10 1.352786871116285026e+08 9.285469823140541557e+05
7.000000000000000000e+00 4.465871593773063660e+10 7.966587228549112380e+07 3.770194077173403348e+05
8.000000000000000000e+00 3.431473233690003967e+10 4.891319803242745996e+07 1.894056696163503511e+05
9.000000000000000000e+00 2.729257233884183502e+10 3.212552139788318053e+07 1.220326249766786204e+05
1.000000000000000000e+01 2.230617736004774094e+10 2.309336241544113308e+07 8.562807081752982049e+04
1.100000000000000000e+01 1.863706995477396011e+10 1.826039762298318744e+07 6.042190975958926720e+04
1.200000000000000000e+01 1.586101147335815239e+10 1.560431930605922081e+07 4.484020034903443593e+04
1.300000000000000000e+01 1.370159463907031822e+10 1.401446669278792664e+07 3.702044266799774778e+04
1.400000000000000000e+01 1.198316589906340790e+10 1.292493935820641927e+07 3.349973598802583001e+04
1.500000000000000000e+01 1.059678781254582787e+10 1.207082654613884538e+07 3.174648160955294225e+04
1.600000000000000000e+01 9.463713194774806976e+09 1.133226268533240631e+07 3.097897784421711913e+04
1.700000000000000000e+01 8.517344182509016037e+09 1.067841060980445147e+07 3.129263365374989735e+04
1.800000000000000000e+01 7.721551639018050194e+09 1.010712308083423786e+07 3.271994139245672704e+04
1.900000000000000000e+01 7.047002376241333008e+09 9.615641834434876218e+06 3.495320830925580958e+04
2.000000000000000000e+01 6.466790374975831985e+09 9.198092238686325029e+06 3.764642806960261805e+04
2.100000000000000000e+01 5.964617636815402031e+09 8.840062905791576952e+06 4.060878421246470680e+04
2.200000000000000000e+01 5.527335019809953690e+09 8.524227256983170286e+06 4.370746389368592645e+04
2.300000000000000000e+01 5.143780787036966324e+09 8.230134705489167012e+06 4.688647886311952607e+04
2.400000000000000000e+01 4.804178295437289238e+09 7.939115184698563069e+06 5.010916147362336051e+04
2.500000000000000000e+01 4.502303872380686760e+09 7.642744716652184725e+06 5.333930189606409840e+04
2.600000000000000000e+01 4.233017181931053638e+09 7.336747644945695996e+06 5.655296290428082284e+04
2.700000000000000000e+01 3.991958264500184059e+09 7.023195510746175423e+06 5.977483986598610500e+04
2.800000000000000000e+01 3.774962254586770535e+09 6.705746654613621533e+06 6.304178629736327275e+04
2.900000000000000000e+01 3.578227112789100647e+09 6.388073201619645581e+06 6.638191027659601241e+04
3.000000000000000000e+01 3.399402104102537155e+09 6.073902414885425940e+06 6.978833812986452540e+04
3.100000000000000000e+01 3.236499319622303009e+09 5.766975342043345794e+06 7.324545074534982268e+04
3.200000000000000000e+01 3.087616053125448704e+09 5.469825607440648600e+06 7.673913270517512865e+04
3.300000000000000000e+01 2.951190409118857384e+09 5.180157142281305045e+06 8.026128336723418033e+04
3.400000000000000000e+01 2.825745694791740894e+09 4.894466454483451322e+06 8.380530578336110921e+04
3.500000000000000000e+01 2.709912822358765602e+09 4.609899856079675257e+06 8.736526142224046635e+04
3.600000000000000000e+01 2.602753124136884212e+09 4.326202875559331849e+06 9.093784541995119071e+04
3.700000000000000000e+01 2.503435537468619823e+09 4.043770845526285470e+06 9.452041132941633987e+04
3.800000000000000000e+01 2.411128999696436405e+09 3.762999098584455904e+06 9.811031270355982997e+04
3.900000000000000000e+01 2.325066400178007126e+09 3.484330270040955860e+06 1.017043283841999219e+05
4.000000000000000000e+01 2.244736436331755161e+09 3.208396206016087439e+06 1.052969383687193331e+05
4.100000000000000000e+01 2.169691757591193199e+09 2.935876055333748460e+06 1.088820479433951259e+05
4.200000000000000000e+01 2.099485013389893770e+09 2.667448966817663517e+06 1.124535623945052357e+05
4.300000000000000000e+01 2.033689284474693537e+09 2.403629062564059161e+06 1.160064135596406268e+05
4.400000000000000000e+01 1.971959376845481634e+09 2.144270357758796308e+06 1.195396394816570391e+05
4.500000000000000000e+01 1.913970527815500498e+09 1.889061840860181022e+06 1.230533047547268798e+05
4.600000000000000000e+01 1.859397974697992325e+09 1.637692500326533802e+06 1.265474739730315487e+05
4.700000000000000000e+01 1.807916954806139946e+09 1.389851324616175145e+06 1.300222117307380104e+05
4.800000000000000000e+01 1.759229114170783043e+09 1.145273624636773951e+06 1.334767076185183832e+05
4.900000000000000000e+01 1.713141733692991018e+09 9.038800010934871389e+05 1.369066512130165356e+05
5.000000000000000000e+01 1.669488502991385937e+09 6.656373771409360925e+05 1.403068570873724238e+05
5.100000000000000000e+01 1.628103111684575558e+09 4.305126759336265968e+05 1.436721398147314030e+05
5.200000000000000000e+01 1.588819249391182423e+09 1.984728206261634768e+05 1.469973139682244509e+05
5.300000000000000000e+01 1.551480972258471489e+09 -3.050733269913025651e+04 1.502780418241889274e+05
5.400000000000000000e+01 1.515973802547909737e+09 -2.564211962488217687e+05 1.535133764717140002e+05
5.500000000000000000e+01 1.482193629049651384e+09 -4.792542493016934604e+05 1.567032187030843634e+05
5.600000000000000000e+01 1.450036340553821087e+09 -6.989919711365294643e+05 1.598474693105884362e+05
5.700000000000000000e+01 1.419397825850499153e+09 -9.156198410321340198e+05 1.629460290865055285e+05
5.800000000000000000e+01 1.390173973729824543e+09 -1.129123338267278625e+06 1.659987988231221971e+05
5.900000000000000000e+01 1.362266418352220297e+09 -1.339465740010691341e+06 1.690050459402906417e+05
6.000000000000000000e+01 1.335599775359315872e+09 -1.546521514990782365e+06 1.719615043681346287e+05
6.100000000000000000e+01 1.310104405762994289e+09 -1.750142929825875210e+06 1.748642746643472346e+05
6.200000000000000000e+01 1.285710670575227737e+09 -1.950182251134365099e+06 1.777094573866196733e+05
6.300000000000000000e+01 1.262348930807914257e+09 -2.146491745534546673e+06 1.804931530926395790e+05
6.400000000000000000e+01 1.239949547472981215e+09 -2.338923679644771852e+06 1.832114623401090212e+05
6.500000000000000000e+01 1.218448238287924290e+09 -2.527372908757256810e+06 1.858610778718526126e+05
6.600000000000000000e+01 1.197802147792377949e+09 -2.711904642860018648e+06 1.884410611712701502e+05
6.700000000000000000e+01 1.177973777231559515e+09 -2.892626680614721030e+06 1.909510659068839450e+05
6.800000000000000000e+01 1.158925627850730181e+09 -3.069646820683143102e+06 1.933907457472416281e+05
6.900000000000000000e+01 1.140620200895018816e+09 -3.243072861727151088e+06 1.957597543608727283e+05
7.000000000000000000e+01 1.123019997609671831e+09 -3.413012602408582345e+06 1.980577454163122748e+05
7.100000000000000000e+01 1.106087519239936352e+09 -3.579573841389100999e+06 2.002843725820915715e+05
7.200000000000000000e+01 1.089787028808923244e+09 -3.742832777929641306e+06 2.024391254115271731e+05
7.300000000000000000e+01 1.074089836451541662e+09 -3.902739213687382638e+06 2.045208369970274507e+05
7.400000000000000000e+01 1.058969014080624104e+09 -4.059211350918544456e+06 2.065281763157968235e+05
7.500000000000000000e+01 1.044397633609047294e+09 -4.212167391879606061e+06 2.084598123450126150e+05
7.600000000000000000e+01 1.030348766949629188e+09 -4.361525538826582953e+06 2.103144140618809906e+05
7.700000000000000000e+01 1.016795486015216947e+09 -4.507203994015783072e+06 2.120906504435955430e+05
7.800000000000000000e+01 1.003710862718628287e+09 -4.649120959703568369e+06 2.137871904673299287e+05
7.900000000000000000e+01 9.910679689727401733e+08 -4.787194638146188110e+06 2.154027031102975889e+05
8.000000000000000000e+01 9.788418079978989363e+08 -4.921362785606103949e+06 2.169360478013902029e+05
8.100000000000000000e+01 9.670151082446250916e+08 -5.051641374371334910e+06 2.183868457763388287e+05
8.200000000000000000e+01 9.555725294709012508e+08 -5.178065930735824630e+06 2.197549087225888798e+05
8.300000000000000000e+01 9.444987314347618818e+08 -5.300671980993689038e+06 2.210400483275713632e+05
8.400000000000000000e+01 9.337783738942340612e+08 -5.419495051439277828e+06 2.222420762787316926e+05
8.500000000000000000e+01 9.233961166073520184e+08 -5.534570668366475962e+06 2.233608042635098682e+05
8.600000000000000000e+01 9.133366193321353197e+08 -5.645934358069343492e+06 2.243960439693441149e+05
8.700000000000000000e+01 9.035845418265742064e+08 -5.753621646842228249e+06 2.253476070836726285e+05
8.800000000000000000e+01 8.941245438487104177e+08 -5.857668060979305767e+06 2.262153052939390182e+05
8.900000000000000000e+01 8.849422269201341867e+08 -5.958104364818933420e+06 2.269990141114192083e+05
9.000000000000000000e+01 8.760269596165937185e+08 -6.054942274877524003e+06 2.276988643427327333e+05
9.100000000000000000e+01 8.673690522775038481e+08 -6.148188745716369711e+06 2.283150506183548423e+05
9.200000000000000000e+01 8.589588152421241999e+08 -6.237850731896065176e+06 2.288477675687481824e+05
9.300000000000000000e+01 8.507865588498327732e+08 -6.323935187977497466e+06 2.292972098243736546e+05
9.400000000000000000e+01 8.428425934399704933e+08 -6.406449068521782756e+06 2.296635720156920142e+05
9.500000000000000000e+01 8.351172293518782854e+08 -6.485399328089863993e+06 2.299470487731822068e+05
9.600000000000000000e+01 8.276007769249045849e+08 -6.560792921242395416e+06 2.301478347272996325e+05
9.700000000000000000e+01 8.202835464983830452e+08 -6.632636802540668286e+06 2.302661245085087721e+05
9.800000000000000000e+01 8.131558484116470814e+08 -6.700937926545334980e+06 2.303021127472740482e+05
9.900000000000000000e+01 8.062085634899555445e+08 -6.765706148412383161e+06 2.302561008549996477e+05
1.000000000000000000e+02 7.994348545020902157e+08 -6.826962925677559339e+06 2.301288173668105446e+05
1.010000000000000000e+02 7.928284547027949095e+08 -6.884732616471596062e+06 2.299210975987823331e+05
1.020000000000000000e+02 7.863830973467767239e+08 -6.939039578924994916e+06 2.296337768669779180e+05
1.030000000000000000e+02 7.800925156887425184e+08 -6.989908171168718487e+06 2.292676904874674801e+05
1.040000000000000000e+02 7.739504429833991528e+08 -7.037362751333732158e+06 2.288236737763229758e+05
1.050000000000000000e+02 7.679506124854980707e+08 -7.081427677550130524e+06 2.283025620496018382e+05
1.060000000000000000e+02 7.620867574496943951e+08 -7.122127307949052192e+06 2.277051906233833288e+05
1.070000000000000000e+02 7.563526111307246685e+08 -7.159486000661112368e+06 2.270323948137248808e+05
1.080000000000000000e+02 7.507419067833180428e+08 -7.193528113817043602e+06 2.262850099366967042e+05
1.090000000000000000e+02 7.452483776621739864e+08 -7.224278005547637120e+06 2.254638713083761104e+05
1.100000000000000000e+02 7.398661779742946625e+08 -7.251761333705586381e+06 2.245699011021052429e+05
1.110000000000000000e+02 7.345911457358559370e+08 -7.276008955032937229e+06 2.236043689203935210e+05
1.120000000000000000e+02 7.294195399152991772e+08 -7.297053025993350893e+06 2.225686312230114709e+05
1.130000000000000000e+02 7.243476194811027050e+08 -7.314925703051123768e+06 2.214640444697531057e+05
1.140000000000000000e+02 7.193716434017375708e+08 -7.329659142669743858e+06 2.202919651204070542e+05
1.150000000000000000e+02 7.144878706456229687e+08 -7.341285501313623041e+06 2.190537496347456472e+05
1.160000000000000000e+02 7.096925601812520027e+08 -7.349836935446191579e+06 2.177507544725628977e+05
1.170000000000000000e+02 7.049819709770736694e+08 -7.355345601532092318e+06 2.163843360936420213e+05
1.180000000000000000e+02 7.003523620015513897e+08 -7.357843656034581363e+06 2.149558509577715886e+05
1.190000000000000000e+02 6.957999922231487036e+08 -7.357363255417956039e+06 2.134666555247275683e+05
1.200000000000000000e+02 6.913211206103146076e+08 -7.353936556146051735e+06 2.119181062542985892e+05
1.210000000000000000e+02 6.869120061315052509e+08 -7.347595714682989754e+06 2.103115596062731929e+05
1.220000000000000000e+02 6.825689077551914454e+08 -7.338372887492605485e+06 2.086483720404346241e+05
1.230000000000000000e+02 6.782883310168482065e+08 -7.326301434249643236e+06 2.069299688918534666e+05
1.240000000000000000e+02 6.740677677200694084e+08 -7.311419527471970767e+06 2.051580509967680555e+05
1.250000000000000000e+02 6.699049562354083061e+08 -7.293766542888942175e+06 2.033343880667150079e+05
1.260000000000000000e+02 6.657976349334701300e+08 -7.273381856228410266e+06 2.014607498132128385e+05
1.270000000000000000e+02 6.617435421848597527e+08 -7.250304843220422976e+06 1.995389059477927512e+05
1.280000000000000000e+02 6.577404163601455688e+08 -7.224574879592949525e+06 1.975706261819804786e+05
1.290000000000000000e+02 6.537859958299474716e+08 -7.196231341074996628e+06 1.955576802273089997e+05
1.300000000000000000e+02 6.498780189648408890e+08 -7.165313603395400569e+06 1.935018377953041345e+05
1.310000000000000000e+02 6.460142241354086399e+08 -7.131861042283284478e+06 1.914048685974969994e+05
1.320000000000000000e+02 6.421923497122635841e+08 -7.095913033467078581e+06 1.892685423454079719e+05
1.330000000000000000e+02 6.384101340659883022e+08 -7.057508952676023357e+06 1.870946287505736691e+05
1.340000000000000000e+02 6.346653155671733618e+08 -7.016688175638490357e+06 1.848848975245197944e+05
