# ell, dCl_tt, dCl_te, dCl_ee
2.000000000000000000e+00 3.291999258011141478e+02 2.485209054194077183e+01 6.274930807462175686e-01
3.000000000000000000e+00 8.786469732640560437e+01 2.000502201182181139e+01 6.293972005780088530e-01
4.000000000000000000e+00 -1.538632544932332635e+01 1.447164893779227590e+01 4.552357800022691081e-01
5.000000000000000000e+00 -5.843686593090881587e+01 9.906892487411214532e+00 2.618335031296950000e-01
6.000000000000000000e+00 -7.381575948944275467e+01 6.525976555618793640e+00 1.228936505737404927e-01
7.000000000000000000e+00 -7.619829438171977642e+01 4.136164342648264380e+00 4.892150386211571028e-02
8.000000000000000000e+00 -7.272376687662074346e+01 2.509907829952691571e+00 1.966349939962864363e-02
9.000000000000000000e+00 -6.669392237629116948e+01 1.453551114637195996e+00 1.121324309884271300e-02
1.000000000000000000e+01 -6.000984636492136559e+01 8.059240915369352276e-01 8.544288988700391232e-03
1.100000000000000000e+01 -5.344064544262953120e+01 4.361700168658178556e-01 6.223979197456189563e-03
1.200000000000000000e+01 -4.762514922305882692e+01 2.432807186862310511e-01 3.956626752475343733e-03
1.300000000000000000e+01 -4.243452058138278460e+01 1.522126418543412740e-01 2.458952480357679340e-03
1.400000000000000000e+01 -3.796367136518443175e+01 1.117720970642569894e-01 1.773538928188530444e-03
1.500000000000000000e+01 -3.409135604790084528e+01 9.037336810735038806e-02 1.431375232006006993e-03
1.600000000000000000e+01 -3.084416231015398324e+01 7.361294981965911532e-02 1.060923717570447147e-03
1.700000000000000000e+01 -2.806581559416747851e+01 5.423985195316136099e-02 6.200072797829624246e-04
1.800000000000000000e+01 -2.564070006125009371e+01 3.059435152042968772e-02 2.506587286412976460e-04
1.900000000000000000e+01 -2.353053755022952132e+01 5.454513358014802075e-03 6.599260418621459452e-06
2.000000000000000000e+01 -2.170524931197651242e+01 -1.752418433932744629e-02 -1.059833898430052944e-04
2.100000000000000000e+01 -2.011530170660234518e+01 -3.460426303310926155e-02 -1.450532338485324387e-04
2.200000000000000000e+01 -1.871481049726853030e+01 -4.302492245828548612e-02 -1.696871329064867772e-04
2.300000000000000000e+01 -1.749194395009417136e+01 -4.401407578733469717e-02 -1.792615999926983235e-04
2.400000000000000000e+01 -1.643627574488881748e+01 -3.984365104933420415e-02 -1.653070693779039291e-04
2.500000000000000000e+01 -1.550894871327608016e+01 -3.297292226224143863e-02 -1.476700088451879020e-04
2.600000000000000000e+01 -1.467054704835720891e+01 -2.569799957026621187e-02 -1.477904036558259611e-04
