# ell, dCl_tt, dCl_te, dCl_ee
2.000000000000000000e+00 -3.590225103439479426e+03 1.097537968095529948e+02 1.395112177029617095e+00
3.000000000000000000e+00 -1.241981481483662719e+03 1.734553309794772957e+01 1.918637121431365777e-01
4.000000000000000000e+00 -6.548028101474301366e+02 1.489017301186112974e+00 -1.886838663971157626e-01
5.000000000000000000e+00 -3.601146991115911078e+02 -3.699360095521520009e+00 -2.224667968884520841e-01
6.000000000000000000e+00 -1.892572163629324677e+02 -4.850010718314701208e+00 -1.356941324140697180e-01
7.000000000000000000e+00 -1.543817810906489285e+02 -4.453563395477866393e+00 -5.760674231395594008e-02
8.000000000000000000e+00 -7.795540886121443691e+01 -3.429080562417363698e+00 -2.115169958556467611e-02
9.000000000000000000e+00 -3.549992719371175554e+01 -2.263716347203070800e+00 -1.191587460690765946e-02
1.000000000000000000e+01 -2.166637350427436104e+01 -1.364122207070661563e+00 -1.062037874334769566e-02
1.100000000000000000e+01 2.988946110491497166e+00 -7.844073096975601178e-01 -8.473577541746466629e-03
1.200000000000000000e+01 -1.266360397806920446e+00 -5.113472868276125460e-01 -5.284462982598966789e-03
1.300000000000000000e+01 7.973698582333099694e+00 -3.608823747883183053e-01 -2.940751796663601102e-03
1.400000000000000000e+01 1.960757104818355856e+01 -1.916966759604038506e-01 -2.219306341531108399e-03
1.500000000000000000e+01 2.621784417932815359e+01 -2.492554806005076173e-01 -2.223578574715192029e-03
1.600000000000000000e+01 2.027700497663431634e+01 -2.393300421682509338e-01 -1.833725124403902569e-03
1.700000000000000000e+01 2.851635146882358640e+01 -1.070414604682767834e-01 -1.347439547122561854e-03
1.800000000000000000e+01 2.880855703281781643e+01 -9.070873717806349212e-02 -9.824616633801711192e-04
1.900000000000000000e+01 2.278950099462662138e+01 -1.381590573354407603e-01 -6.863116289512814598e-04
2.000000000000000000e+01 2.005647365898255430e+01 -1.371652817572233118e-01 -4.048569797395233302e-04
2.100000000000000000e+01 1.977264038224291198e+01 -9.928140337317481467e-02 -2.377255727139355665e-04
2.200000000000000000e+01 1.927939596491512475e+01 -6.085729639566939131e-02 -2.684854524064007007e-04
2.300000000000000000e+01 1.906517793365480884e+01 -3.364522805582303988e-02 -3.627050925391044761e-04
2.400000000000000000e+01 1.990385920695558752e+01 -2.023140932963518601e-02 -3.779612515333679278e-04
2.500000000000000000e+01 2.056401154330700365e+01 -1.113543315417464541e-02 -3.578633974227131594e-04
2.600000000000000000e+01 1.977969999416018254e+01 2.096037446108756086e-03 -3.818795750370270088e-04
2.700000000000000000e+01 1.815226394153768297e+01 1.174144106060037718e-02 -4.868794267949040633e-04
2.800000000000000000e+01 1.674986135022038525e+01 6.035491681606608427e-03 -6.990829945155039790e-04
2.900000000000000000e+01 1.641591183503265938e+01 -2.051233166298210842e-02 -1.013678422441500679e-03
3.000000000000000000e+01 1.709488161116823335e+01 -4.829348980373709965e-02 -1.301726264533748650e-03
3.100000000000000000e+01 1.850649854400643335e+01 -5.142467853606197403e-02 -1.403255177183935012e-03
3.200000000000000000e+01 2.033700796522097676e+01 -1.386501047310334522e-02 -1.210995228026045395e-03
3.300000000000000000e+01 2.213872507169867276e+01 4.105673450046504191e-02 -8.284821296741014945e-04
3.400000000000000000e+01 2.343048252663848530e+01 8.016935968201827079e-02 -4.119530059903866309e-04
3.500000000000000000e+01 2.387157876983181382e+01 7.839868974242325539e-02 -8.851527088659001674e-05
3.600000000000000000e+01 2.368317534727992779e+01 4.305863484703464916e-02 1.312425015090020256e-04
3.700000000000000000e+01 2.322689958164758650e+01 -1.043987346537045280e-02 2.658614470192393817e-04
3.800000000000000000e+01 2.286437879554625852e+01 -6.668590365594556646e-02 3.338827014620930275e-04
3.900000000000000000e+01 2.286230244136433498e+01 -1.120768494005698612e-01 3.484993581036452057e-04
4.000000000000000000e+01 2.310760849054460664e+01 -1.402434052336261339e-01 3.015123399932075066e-04
4.100000000000000000e+01 2.339229704434231394e+01 -1.466245909043616125e-01 1.793745276254922819e-04
4.200000000000000000e+01 2.350836820403046090e+01 -1.266594261618153583e-01 -3.146119850641442006e-05
4.300000000000000000e+01 2.330659748594143821e+01 -7.911000686460639697e-02 -3.336721268861961298e-04
4.400000000000000000e+01 2.287286206701821811e+01 -1.603073330901441662e-02 -6.864562219165409179e-04
4.500000000000000000e+01 2.235181453931645024e+01 4.720091809929174986e-02 -1.038141616977990636e-03
4.600000000000000000e+01 2.188810749477632100e+01 9.520747095453918618e-02 -1.337056445452171338e-03
4.700000000000000000e+01 2.162639352556894323e+01 1.126114488509809969e-01 -1.531528840717456472e-03
4.800000000000000000e+01 2.166706387883188256e+01 8.919004964347970743e-02 -1.583991876548222766e-03
4.900000000000000000e+01 2.193346442258992113e+01 3.533916822894087734e-02 -1.513298388275755024e-03
5.000000000000000000e+01 2.230467967983429389e+01 -3.339062623513786021e-02 -1.352406151623004524e-03
5.100000000000000000e+01 2.265979417379604399e+01 -1.014487645913065700e-01 -1.134272942311838339e-03
5.200000000000000000e+01 2.287789242752857888e+01 -1.532846776820654677e-01 -8.918565360652077473e-04
5.300000000000000000e+01 2.286845419992467043e+01 -1.770981618614715369e-01 -6.540400299473447809e-04
5.400000000000000000e+01 2.266254019283486798e+01 -1.760904755296137936e-01 -4.334078063778466772e-04
