# ell, dCl_tt, dCl_te, dCl_ee
2.000000000000000000e+00 -3.851306361224098055e+03 -4.523780156186723467e+00 -1.663172062155061359e-01
3.000000000000000000e+00 -1.545071930005000013e+03 -5.110229488068463999e-01 -3.491657273317925331e-02
4.000000000000000000e+00 -6.975002058083289285e+02 3.017106492853027788e-01 1.780509023530256821e-02
5.000000000000000000e+00 -3.630629445116337024e+02 5.966127918422785559e-01 2.533847681961206438e-02
6.000000000000000000e+00 -1.992434020368908136e+02 5.911983450486634206e-01 1.583879435829904300e-02
7.000000000000000000e+00 -1.705464572275770649e+02 4.813631602114596952e-01 6.493122377828722779e-03
8.000000000000000000e+00 -1.088234625681902230e+02 3.411302217308905815e-01 2.020188032115508188e-03
9.000000000000000000e+00 -7.270408649035735493e+01 2.164730397223987579e-01 9.495522992800438811e-04
1.000000000000000000e+01 -6.462999566863913969e+01 1.395628511164311303e-01 9.375874381220335868e-04
1.100000000000000000e+01 -3.970120634634660206e+01 8.463848013481085897e-02 8.395905618480041868e-04
1.200000000000000000e+01 -4.272160914936762310e+01 5.009282446437533787e-02 5.708343004002372273e-04
1.300000000000000000e+01 -3.634570574912438445e+01 4.217629361577050762e-02 3.485002602830451855e-04
1.400000000000000000e+01 -2.602590313696140356e+01 3.090716280013216383e-02 2.810714909475849738e-04
1.500000000000000000e+01 -1.928670623786083738e+01 3.389095841946949267e-02 2.961704028382684990e-04
1.600000000000000000e+01 -2.135326483023090560e+01 4.359974581024423507e-02 2.683791417137103871e-04
1.700000000000000000e+01 -1.403433643139757336e+01 2.962268406563546910e-02 2.121712093104861918e-04
1.800000000000000000e+01 -1.292472794037990980e+01 2.592987425818859409e-02 1.677290834309865181e-04
1.900000000000000000e+01 -1.630806405578713836e+01 2.998798691116308021e-02 1.369710440642957238e-04
2.000000000000000000e+01 -1.702861022783354628e+01 2.872405668423450020e-02 1.149234252003522062e-04
2.100000000000000000e+01 -1.627910006968237866e+01 2.544716393667264057e-02 1.063782645929844755e-04
2.200000000000000000e+01 -1.647018680564065463e+01 2.534955450729911228e-02 1.153085224801896481e-04
2.300000000000000000e+01 -1.653573394156028797e+01 2.477409045356847306e-02 1.326451452728460002e-04
2.400000000000000000e+01 -1.518798789702101182e+01 1.985751708414247932e-02 1.484125903266956766e-04
2.500000000000000000e+01 -1.372951646488017197e+01 1.476149649378957415e-02 1.620513726041134678e-04
2.600000000000000000e+01 -1.362974350486569364e+01 1.419418213391520495e-02 1.757181147328785802e-04
2.700000000000000000e+01 -1.443519577082394001e+01 1.702477609616045995e-02 1.930178123958523572e-04
2.800000000000000000e+01 -1.521167574014801893e+01 2.066274263226933194e-02 2.179175545396425117e-04
2.900000000000000000e+01 -1.521109800094677666e+01 2.297718776095005952e-02 2.514479684795103672e-04
3.000000000000000000e+01 -1.442982558423646111e+01 2.367578456891904562e-02 2.828938350057964304e-04
3.100000000000000000e+01 -1.305033363175159700e+01 2.292584790985198115e-02 2.986034732771849533e-04
3.200000000000000000e+01 -1.130478733822723036e+01 2.102672035299043424e-02 2.896120915657044185e-04
3.300000000000000000e+01 -9.624112110383974183e+00 1.880585532977993232e-02 2.657024545948622808e-04
3.400000000000000000e+01 -8.488923407937878807e+00 1.722273398721205218e-02 2.413442162013166410e-04
3.500000000000000000e+01 -8.231930605487088215e+00 1.702690703153900836e-02 2.280857380574690318e-04
3.600000000000000000e+01 -8.594218737141597231e+00 1.812820340599363006e-02 2.257902131795084882e-04
3.700000000000000000e+01 -9.168966751896030942e+00 2.022652161307928950e-02 2.313995424196773959e-04
3.800000000000000000e+01 -9.549353598743744342e+00 2.302176015528202904e-02 2.418556266303342587e-04
3.900000000000000000e+01 -9.438492250415057683e+00 2.614374951791578749e-02 2.545670696378475486e-04
4.000000000000000000e+01 -8.979231774603389837e+00 2.894204811758140442e-02 2.688092871648190040e-04
4.100000000000000000e+01 -8.424355262736581196e+00 3.069614635368284050e-02 2.843243979082861516e-04
4.200000000000000000e+01 -8.026645806250089166e+00 3.068553462564017550e-02 3.008545205652091332e-04
4.300000000000000000e+01 -7.971918684884624184e+00 2.848170703285943586e-02 3.181989865409687139e-04
