# ell, fid_Cl_tt, fid_Cl_te, fid_Cl_ee
2.000000000000000000e+00 1.073820942345432059e+03 2.762323757007220770e+00 3.267143430442030760e-02
3.000000000000000000e+00 5.082858668084974170e+02 1.550719200123847008e+00 2.097677603718585762e-02
4.000000000000000000e+00 2.886576356773351790e+02 8.697518239911194993e-01 1.091259670431949345e-02
5.000000000000000000e+00 1.842707382124900732e+02 4.937725191633682287e-01 4.866355771781838251e-03
6.000000000000000000e+00 1.276059322552149382e+02 2.840854918691287923e-01 1.948136982615009376e-03
7.000000000000000000e+00 9.377968163135430757e+01 1.672986636109931591e-01 7.899280981840467930e-04
8.000000000000000000e+00 7.205733793852171232e+01 1.027181410749931495e-01 3.959381588374245257e-04
9.000000000000000000e+00 5.731082582049695873e+01 6.746412356876012317e-02 2.544535744929421212e-04
1.000000000000000000e+01 4.683942202728232473e+01 4.849670263253617192e-02 1.780027299083841079e-04
1.100000000000000000e+01 3.913432368933515448e+01 3.834759842971825761e-02 1.250684321665127159e-04
1.200000000000000000e+01 3.330462940385115189e+01 3.276996416453405864e-02 9.234541618826355095e-05
1.300000000000000000e+01 2.876988365039826689e+01 2.943141159763017559e-02 7.592244434890431989e-05
1.400000000000000000e+01 2.516121373176467912e+01 2.714354920140114868e-02 6.852743738998390809e-05
1.500000000000000000e+01 2.224985079293574941e+01 2.535006374193004078e-02 6.484405023114734408e-05
1.600000000000000000e+01 1.987042552693861452e+01 2.379923686843300398e-02 6.323072129405863631e-05
1.700000000000000000e+01 1.788308221544224708e+01 2.242630988112762069e-02 6.388782102061338623e-05
1.800000000000000000e+01 1.621194948088659871e+01 2.122677293142474081e-02 6.688359455963479162e-05
1.900000000000000000e+01 1.479542746095069283e+01 2.019483302870174121e-02 7.157189766718465409e-05
2.000000000000000000e+01 1.357701336057695229e+01 1.931815281727940203e-02 7.722612719746132658e-05
2.100000000000000000e+01 1.252248125782665511e+01 1.856646777380085295e-02 8.344557785487198294e-05
2.200000000000000000e+01 1.160421784433337500e+01 1.790339148487919696e-02 8.995135149048327794e-05
2.300000000000000000e+01 1.079878339290095646e+01 1.728597714468500454e-02 9.662588069179063035e-05
2.400000000000000000e+01 1.008564688773567219e+01 1.667501705143117560e-02 1.033921708923316599e-04
2.500000000000000000e+01 9.451738577483215664e+00 1.605282031194237014e-02 1.101741881733841479e-04
2.600000000000000000e+01 8.886263732417265970e+00 1.541040752083832482e-02 1.169216706814924672e-04
2.700000000000000000e+01 8.380066444884002763e+00 1.475212841530723629e-02 1.236864841765273162e-04
2.800000000000000000e+01 7.924400512747734382e+00 1.408566501817943607e-02 1.305460263216910494e-04
2.900000000000000000e+01 7.511281675153347770e+00 1.341872830518008736e-02 1.375593292291683574e-04
3.000000000000000000e+01 7.135773436368044287e+00 1.275914506361376134e-02 1.447119628070737908e-04
3.100000000000000000e+01 6.793701241939608337e+00 1.211477103367986780e-02 1.519711314125042091e-04
3.200000000000000000e+01 6.481069465556823950e+00 1.149092636821466215e-02 1.593071971619797200e-04
3.300000000000000000e+01 6.194598193472493186e+00 1.088278887060173915e-02 1.667031532097125283e-04
3.400000000000000000e+01 5.931186440080422173e+00 1.028300075686154093e-02 1.741451504693379245e-04
3.500000000000000000e+01 5.687959188785488784e+00 9.685568829499139817e-03 1.816207226649660487e-04
3.600000000000000000e+01 5.462945299036868541e+00 9.089958236958165308e-03 1.891229347626061693e-04
3.700000000000000000e+01 5.254399599294812262e+00 8.496998714166894423e-03 1.966462345387423236e-04
3.800000000000000000e+01 5.060576918019567216e+00 7.907519996053602451e-03 2.041850697698584943e-04
3.900000000000000000e+01 4.879866378044333430e+00 7.322451148964138554e-03 2.117326815368797052e-04
4.000000000000000000e+01 4.711194279694113973e+00 6.743118564914669065e-03 2.192774841384939784e-04
4.100000000000000000e+01 4.553621217666859344e+00 6.170947967338932458e-03 2.268066851778305121e-04
4.200000000000000000e+01 4.406207786660520043e+00 5.607365079670671541e-03 2.343074922580182880e-04
4.300000000000000000e+01 4.268057481101849682e+00 5.053449069212390815e-03 2.417692688124603779e-04
4.400000000000000000e+01 4.138445394332792127e+00 4.508892878741633733e-03 2.491900015956562695e-04
4.500000000000000000e+01 4.016689519424097021e+00 3.973042894904711513e-03 2.565698331923796762e-04
4.600000000000000000e+01 3.902107849446507792e+00 3.445245504347928429e-03 2.639089061874038506e-04
4.700000000000000000e+01 3.794018377470772307e+00 2.924847093717595266e-03 2.712073631655026419e-04
4.800000000000000000e+01 3.691794551740875008e+00 2.411291336872740942e-03 2.784635089943054780e-04
4.900000000000000000e+01 3.595031641193762173e+00 1.904411056523283184e-03 2.856682976728662179e-04
5.000000000000000000e+01 3.503380369939616656e+00 1.404136362591863925e-03 2.928108454830947332e-04
5.100000000000000000e+01 3.416491462088626196e+00 9.103973650011236906e-04 2.998802687069005704e-04
5.200000000000000000e+01 3.334015641750973202e+00 4.231241736737034937e-04 3.068656836261938179e-04
5.300000000000000000e+01 3.255625405415877971e+00 -5.773641567481896473e-05 3.137579860750056775e-04
5.400000000000000000e+01 3.181080339088697251e+00 -5.321708641571181462e-04 3.205551900958538087e-04
5.500000000000000000e+01 3.110161801153821681e+00 -1.000148947092931824e-03 3.272570892833773638e-04
5.600000000000000000e+01 3.042651149995642346e+00 -1.461640439801997282e-03 3.338634772322154952e-04
5.700000000000000000e+01 2.978329743998549883e+00 -1.916615117604053000e-03 3.403741475370074092e-04
5.800000000000000000e+01 2.916978941546935822e+00 -2.365042755818834962e-03 3.467888937923921497e-04
5.900000000000000000e+01 2.858392171283142158e+00 -2.806846471680295076e-03 3.531061787443853990e-04
6.000000000000000000e+01 2.802411142881315875e+00 -3.241762750079232262e-03 3.593191417445084170e-04
6.100000000000000000e+01 2.748889636273554427e+00 -3.669481417820658325e-03 3.654195912956588314e-04
6.200000000000000000e+01 2.697681431391955709e+00 -4.089692301709585941e-03 3.713993359007343236e-04
6.300000000000000000e+01 2.648640308168618507e+00 -4.502085228551029085e-03 3.772501840626325213e-04
6.400000000000000000e+01 2.601620046535639830e+00 -4.906350025149997830e-03 3.829639442842511059e-04
6.500000000000000000e+01 2.556485676942243490e+00 -5.302265929492506850e-03 3.885336680914855509e-04
6.600000000000000000e+01 2.513147231906152079e+00 -5.689969824288577949e-03 3.939573791022225511e-04
6.700000000000000000e+01 2.471525994462215881e+00 -6.069688003429232759e-03 3.992343439573462676e-04
6.800000000000000000e+01 2.431543247645283401e+00 -6.441646760805496384e-03 4.043638292977412411e-04
6.900000000000000000e+01 2.393120274490204036e+00 -6.806072390308389591e-03 4.093451017642917413e-04
7.000000000000000000e+01 2.356178358031826736e+00 -7.163191185828934014e-03 4.141774279978822546e-04
7.100000000000000000e+01 2.320638781305000009e+00 -7.513229441258158225e-03 4.188600746393969965e-04
7.200000000000000000e+01 2.286426522793843841e+00 -7.856347082763637593e-03 4.233919633522835913e-04
7.300000000000000000e+01 2.253481342779557473e+00 -8.192438565619193647e-03 4.277706358902424858e-04
7.400000000000000000e+01 2.221746696992613401e+00 -8.521331977375198180e-03 4.319932890295369397e-04
7.500000000000000000e+01 2.191166041163481015e+00 -8.842855405582024722e-03 4.360571195464305375e-04
